393,	185.133,	3674
394,	185.137,	3681
395,	185.142,	3709
396,	185.147,	3629
397,	185.151,	3615
398,	185.156,	3696
399,	185.160,	3714
400,	185.165,	3677
401,	185.169,	3620
402,	185.174,	3697
403,	185.179,	3689
404,	185.183,	3630
405,	185.188,	3671
406,	185.192,	3696
407,	185.197,	3706
408,	185.202,	3631
409,	185.206,	3616
410,	185.211,	3605
411,	185.215,	2786
412,	185.220,	1917
413,	185.225,	1315
414,	185.229,	827
415,	185.234,	477
416,	185.238,	293
417,	185.243,	255
418,	185.248,	237
419,	185.252,	288
420,	185.257,	255
421,	185.261,	343
422,	185.266,	455
423,	185.271,	629
424,	185.275,	762
425,	185.280,	929
426,	185.284,	1002
427,	185.289,	1050
428,	185.293,	1015
429,	185.298,	1022
430,	185.303,	1071
431,	185.307,	1193
432,	185.312,	1241
433,	185.316,	1288
434,	185.321,	1309
435,	185.326,	1276
436,	185.330,	1126
437,	185.335,	1068
438,	185.339,	938
439,	185.344,	865
440,	185.349,	686
441,	185.353,	618
442,	185.358,	582
443,	185.362,	607
444,	185.367,	597
445,	185.372,	589
446,	185.376,	671
447,	185.381,	697
448,	185.385,	654
449,	185.390,	553
450,	185.395,	528
451,	185.399,	493
452,	185.404,	390
453,	185.408,	314
454,	185.413,	371
455,	185.417,	319
456,	185.422,	205
457,	185.427,	175
458,	185.431,	139
459,	185.436,	147
460,	185.440,	77
461,	185.445,	77
462,	185.450,	97
463,	185.454,	133
464,	185.459,	47
465,	185.463,	103
466,	185.468,	115
467,	185.473,	163
468,	185.477,	135
469,	185.482,	226
470,	185.486,	312
471,	185.491,	441
472,	185.496,	543
473,	185.500,	776
474,	185.505,	955
475,	185.509,	1058
476,	185.514,	1256
477,	185.519,	1620
478,	185.523,	2090
479,	185.528,	2547
480,	185.532,	2901
481,	185.537,	2973
482,	185.542,	2913
483,	185.546,	2508
484,	185.551,	2016
485,	185.555,	1540
486,	185.560,	1268
487,	185.564,	1020
488,	185.569,	880
489,	185.574,	734
490,	185.578,	690
491,	185.583,	593
492,	185.587,	477
493,	185.592,	410
494,	185.597,	447
495,	185.601,	375
496,	185.606,	426
497,	185.610,	403
498,	185.615,	414
499,	185.620,	391
500,	185.624,	368
501,	185.629,	288
502,	185.633,	318
503,	185.638,	337
504,	185.643,	313
505,	185.647,	264
506,	185.652,	320
507,	185.656,	295
508,	185.661,	217
509,	185.666,	180
510,	185.670,	171
511,	185.675,	168
512,	185.679,	105
513,	185.684,	119
514,	185.688,	139
515,	185.693,	144
516,	185.698,	84
517,	185.702,	81
518,	185.707,	172
